ID,HHID,latitude,longitude
CHBA0013004,CHBA00130,24.61166954,90.30786133
CHBA0013101,CHBA00131,24.61165047,90.30799103
CHBA0013102,CHBA00131,24.61165047,90.30799103
CHBA0013103,CHBA00131,24.61165047,90.30799103
CHBA0013104,CHBA00131,24.61165047,90.30799103
CHBA0013201,CHBA00132,24.61171913,90.30789185
CHBA0013202,CHBA00132,24.61171913,90.30789185
CHBA0013203,CHBA00132,24.61171913,90.30789185
CHBA0013301,CHBA00133,24.6117897,90.30802155
CHBA0013302,CHBA00133,24.6117897,90.30802155
CHBA0013303,CHBA00133,24.6117897,90.30802155
CHBA0013304,CHBA00133,24.6117897,90.30802155
CHBA0013305,CHBA00133,24.6117897,90.30802155
CHBA0013306,CHBA00133,24.6117897,90.30802155
CHBA0013401,CHBA00134,24.6117897,90.30799866
CHBA0013402,CHBA00134,24.6117897,90.30799866
CHBA0013403,CHBA00134,24.6117897,90.30799866
CHBA0013501,CHBA00135,24.61177063,90.3080368
CHBA0013504,CHBA00135,24.61177063,90.3080368
CHBA0013505,CHBA00135,24.61177063,90.3080368
CHBA0020101,CHBA00201,24.61092949,90.30867767
CHBA0020102,CHBA00201,24.61092949,90.30867767
CHBA0020103,CHBA00201,24.61092949,90.30867767
CHBA0020104,CHBA00201,24.61092949,90.30867767
CHBA0020105,CHBA00201,24.61092949,90.30867767
CHBA0020106,CHBA00201,24.61092949,90.30867767
CHBA0020107,CHBA00201,24.61092949,90.30867767
CHBA0020108,CHBA00201,24.61092949,90.30867767
CHBA0020201,CHBA00202,24.61099052,90.3088913
CHBA0020202,CHBA00202,24.61099052,90.3088913
CHBA0020301,CHBA00203,24.61076927,90.30902863
CHBA0020302,CHBA00203,24.61076927,90.30902863
CHBA0020303,CHBA00203,24.61076927,90.30902863
CHBA0020304,CHBA00203,24.61076927,90.30902863
CHBA0020305,CHBA00203,24.61076927,90.30902863
CHBA0020306,CHBA00203,24.61076927,90.30902863
CHBA0020401,CHBA00204,24.61100006,90.30877686
CHBA0020402,CHBA00204,24.61100006,90.30877686
CHBA0020403,CHBA00204,24.61100006,90.30877686
CHBA0020404,CHBA00204,24.61100006,90.30877686
CHBA0020501,CHBA00205,24.6111393,90.30885315
CHBA0020502,CHBA00205,24.6111393,90.30885315
CHBA0020503,CHBA00205,24.6111393,90.30885315
CHBA0020504,CHBA00205,24.6111393,90.30885315
CHBA0020601,CHBA00206,24.61133957,90.30886078
CHBA0020602,CHBA00206,24.61133957,90.30886078
CHBA0020603,CHBA00206,24.61133957,90.30886078
CHBA0020604,CHBA00206,24.61133957,90.30886078
CHBA0020605,CHBA00206,24.61133957,90.30886078
CHBA0020606,CHBA00206,24.61133957,90.30886078
CHBA0020701,CHBA00207,24.61123085,90.30906677
CHBA0020702,CHBA00207,24.61123085,90.30906677
CHBA0020703,CHBA00207,24.61123085,90.30906677
CHBA0020704,CHBA00207,24.61123085,90.30906677
CHBA0020705,CHBA00207,24.61123085,90.30906677
CHBA0020706,CHBA00207,24.61123085,90.30906677
CHBA0020707,CHBA00207,24.61123085,90.30906677
CHBA0020708,CHBA00207,24.61123085,90.30906677
CHBA0020709,CHBA00207,24.61123085,90.30906677
CHBA0020710,CHBA00207,24.61123085,90.30906677
CHBA0020801,CHBA00208,24.61128998,90.30941772
CHBA0020802,CHBA00208,24.61128998,90.30941772
CHBA0020805,CHBA00208,24.61128998,90.30941772
CHBA0020806,CHBA00208,24.61128998,90.30941772
CHBA0020807,CHBA00208,24.61128998,90.30941772
CHBA0020808,CHBA00208,24.61128998,90.30941772
CHBA0020809,CHBA00208,24.61128998,90.30941772
CHBA0020901,CHBA00209,24.61096954,90.30940247
CHBA0020902,CHBA00209,24.61096954,90.30940247
CHBA0020903,CHBA00209,24.61096954,90.30940247
CHBA0020904,CHBA00209,24.61096954,90.30940247
CHBA0020905,CHBA00209,24.61096954,90.30940247
CHBA0020906,CHBA00209,24.61096954,90.30940247
CHBA0020907,CHBA00209,24.61096954,90.30940247
CHBA0021001,CHBA00210,24.61112976,90.30973816
CHBA0021002,CHBA00210,24.61112976,90.30973816
CHBA0021003,CHBA00210,24.61112976,90.30973816
CHBA0021101,CHBA00211,24.61104965,90.30973816
CHBA0021102,CHBA00211,24.61104965,90.30973816
CHBA0021103,CHBA00211,24.61104965,90.30973816
CHBA0021104,CHBA00211,24.61104965,90.30973816
